# HotWire artifact -- Attack A2 (forced PreCharge / V2L) sustained-discharge evidence
# Vehicle: LUXGEN N7 (production unit, lab bench).
# Source: decoded from the recorded DIN 70121 trace of the full sustained-discharge session.
# Duration: ~100 minutes of continuous CurrentDemand activity (supports the >=60 min / ~1.25 kWh claim in Sec. 6).
# PRIVACY: the vehicle EVCCID/MAC and ALL link-layer & IPv6 addresses are EXCLUDED. This file contains
#          only protocol-reported electrical fields and relative timestamps -- no identifiers of any kind.
# NOTE: all values are PROTOCOL-REPORTED (read from V2G messages), NOT externally metered.
#       EVSEPresentCurrent is a fixed protocol value emitted by the rogue EVSE, not a measured current.
# Columns: t_rel_s, EVSEPresentVoltage_V (forged), EVSEPresentCurrent_A (reported), EVTargetVoltage_V (vehicle)
t_rel_s,EVSEPresentVoltage_V,EVSEPresentCurrent_A,EVTargetVoltage_V
90.254,0,200,
90.369,,,413.6
90.459,0,200,
90.505,,,413.6
90.554,0,200,
90.670,,,413.6
90.757,0,200,
90.807,,,413.6
90.855,0,200,
90.905,,,413.6
90.975,0,200,
91.069,,,413.6
91.108,0,200,
91.167,,,413.6
91.214,0,200,
91.270,,,413.6
91.342,0,200,
91.468,,,413.6
91.545,0,200,
91.668,,,413.6
91.749,0,200,
91.803,,,413.6
91.848,0,200,
91.905,,,413.6
91.968,0,200,
92.069,,,413.6
92.118,0,200,
92.167,,,413.6
92.233,0,200,
92.369,,,413.6
92.434,0,200,
92.503,,,413.6
92.565,0,200,
92.604,,,413.6
92.667,0,200,
92.704,,,413.6
92.771,0,200,
92.869,,,413.6
92.928,0,200,
92.967,,,413.6
93.033,0,200,
93.169,,,413.6
93.237,0,200,
93.370,,,413.6
93.435,0,200,
93.570,,,413.6
93.635,0,200,
93.768,,,413.6
93.825,0,200,
93.868,,,413.6
93.927,0,200,
94.068,,,413.6
94.108,0,200,
94.168,,,413.6
94.234,0,200,
94.368,,,413.6
94.497,0,200,
94.603,,,413.6
94.695,0,200,
94.802,,,413.6
94.872,0,200,
95.003,,,413.6
95.084,0,200,
95.202,,,413.6
95.293,0,200,
95.368,,,413.6
95.423,0,200,
95.603,,,413.6
95.642,0,200,
95.800,,,413.6
95.870,0,200,
95.968,,,413.6
96.064,0,200,
96.107,,,413.6
96.158,0,200,
96.300,,,413.6
96.342,0,200,
96.405,,,413.6
96.463,0,200,
96.504,,,413.6
96.563,0,200,
96.667,,,413.6
96.758,0,200,
96.868,,,413.6
96.926,0,200,
96.967,,,413.6
97.017,0,200,
97.068,,,413.6
97.135,0,200,
97.268,,,413.6
97.343,0,200,
97.469,,,413.6
97.543,0,200,
97.669,,,413.6
97.726,0,200,
97.767,,,413.6
97.808,0,200,
97.870,,,413.6
97.937,0,200,
98.068,,,413.6
98.116,0,200,
98.168,,,413.6
98.208,0,200,
98.269,,,413.6
98.310,0,200,
98.369,,,413.6
98.409,0,200,
98.469,,,413.6
98.510,0,200,
98.569,,,413.6
98.616,0,200,
98.669,,,413.6
98.710,0,200,
98.769,,,413.6
98.833,0,200,
98.969,,,413.6
99.023,0,200,
99.068,,,413.6
99.131,0,200,
99.271,,,413.6
99.334,0,200,
99.467,,,413.6
99.517,0,200,
99.569,,,413.6
99.631,0,200,
99.703,,,413.6
99.755,0,200,
99.905,,,413.6
99.984,0,200,
100.098,,,413.6
100.163,0,200,
100.207,,,413.6
100.263,0,200,
100.306,,,413.6
100.370,0,200,
100.470,,,413.6
100.566,0,200,
100.608,,,413.6
100.667,0,200,
100.768,,,413.6
100.827,0,200,
100.867,,,413.6
100.924,0,200,
100.967,,,413.6
101.009,0,200,
101.069,,,413.6
101.131,0,200,
101.167,,,413.6
101.225,0,200,
101.267,,,413.6
101.313,0,200,
101.368,,,413.6
101.430,0,200,
101.468,,,413.6
101.517,0,200,
101.568,,,413.6
101.628,0,200,
